iter	Passed	Remaining
0	2	486
1	4	433
2	6	419
3	8	408
4	10	400
5	12	394
6	14	389
7	16	384
8	17	381
9	19	379
10	22	379
11	24	376
12	26	374
13	28	373
14	30	370
15	32	368
16	33	365
17	35	363
18	37	360
19	39	358
20	41	357
21	43	354
22	45	352
23	47	350
24	49	349
25	51	346
26	53	344
27	55	343
28	57	341
29	59	338
30	61	337
31	63	335
32	65	333
33	67	331
34	69	329
35	71	327
36	73	325
37	75	323
38	77	321
39	79	319
40	81	317
41	83	315
42	85	313
43	87	311
44	89	309
45	92	308
46	94	306
47	96	304
48	98	302
49	100	300
50	102	298
51	104	296
52	106	294
53	108	292
54	110	290
55	112	288
56	114	286
57	116	284
58	118	282
59	120	280
60	122	278
61	124	276
62	126	274
63	128	272
64	130	270
65	132	268
66	134	266
67	136	264
68	137	261
69	139	259
70	141	257
71	143	255
72	145	253
73	147	251
74	149	249
75	151	247
76	153	245
77	155	243
78	157	241
79	159	239
80	161	237
81	163	235
82	165	233
83	167	231
84	169	229
85	171	227
86	173	225
87	176	224
88	178	222
89	180	220
90	182	218
91	184	216
92	186	214
93	188	212
94	190	210
95	191	207
96	194	206
97	195	203
98	197	201
99	199	199
100	201	197
101	203	195
102	205	193
103	207	191
104	209	189
105	211	187
106	213	185
107	215	183
108	217	181
109	219	179
110	221	177
111	223	175
112	225	173
113	227	171
114	229	169
115	231	167
116	233	165
117	235	163
118	237	161
119	239	159
120	241	157
121	243	155
122	245	153
123	247	151
124	249	149
125	251	147
126	253	145
127	255	143
128	257	141
129	259	139
130	261	137
131	263	135
132	265	133
133	267	131
134	268	129
135	271	127
136	272	125
137	274	123
138	276	121
139	278	119
140	280	117
141	282	115
142	284	113
143	286	111
144	288	109
145	290	107
146	292	105
147	294	103
148	296	101
149	298	99
150	300	97
151	302	95
152	304	93
153	305	91
154	307	89
155	309	87
156	311	85
157	313	83
158	315	81
159	317	79
160	319	77
161	321	75
162	323	73
163	325	71
164	327	69
165	329	67
166	331	65
167	333	63
168	335	61
169	337	59
170	339	57
171	341	55
172	343	53
173	345	51
174	347	49
175	349	47
176	351	45
177	353	43
178	355	41
179	357	39
180	359	37
181	362	35
182	364	33
183	366	31
184	368	29
185	370	27
186	372	25
187	374	23
188	376	21
189	378	19
190	380	17
191	382	15
192	384	13
193	386	11
194	388	9
195	390	7
196	392	5
197	394	3
198	396	1
199	398	0
